Decoder Obj_Detector
0.028401 0.012171
0.028181 0.012200
0.039451 0.012532
0.026773 0.013034
0.026509 0.012404
0.026080 0.012176
0.026434 0.011984
0.026819 0.012991
0.026798 0.012967
0.031941 0.012081
0.026778 0.012121
0.025600 0.012340
0.028010 0.012130
0.025270 0.012195
0.036900 0.012026
0.026591 0.011981
0.027405 0.011962
0.030115 0.012001
0.025626 0.012270
0.026507 0.011921
0.030528 0.011736
0.025903 0.012166
0.031386 0.011914
0.027018 0.012974
0.033386 0.013455
0.026712 0.012104
0.026948 0.012089
0.026200 0.012194
0.028629 0.012156
0.026933 0.012004
0.026013 0.012164
0.026222 0.012613
0.026117 0.012437
0.025964 0.012067
0.028261 0.012442
0.026544 0.012284
0.029935 0.012117
0.025944 0.012034
0.025831 0.012067
0.026045 0.012043
0.026882 0.012047
0.027134 0.012489
0.025631 0.012043
0.026511 0.012331
0.028248 0.013970
0.028364 0.012583
0.026440 0.012154
0.027344 0.012070
0.027116 0.012136
0.026337 0.012131
0.026223 0.013236
0.026384 0.012048
0.027126 0.012102
0.028080 0.012066
0.026248 0.012752
0.026019 0.011797
0.027651 0.012148
0.026218 0.012015
0.026281 0.012624
0.026265 0.012699
0.025638 0.012910
0.029495 0.013454
0.027278 0.011994
0.026982 0.011948
0.041692 0.013000
0.028263 0.012721
0.026937 0.012092
0.026356 0.011900
0.025959 0.012045
0.026403 0.012131
0.026726 0.012165
0.027378 0.012225
0.027295 0.012494
0.027081 0.012343
0.026817 0.012277
0.028028 0.012197
0.026509 0.011996
0.026719 0.012113
0.024828 0.012669
0.028636 0.012292
0.030499 0.012126
0.026144 0.012193
0.025747 0.012085
0.026110 0.011723
0.026556 0.011789
0.027197 0.012979
0.040278 0.012874
0.026174 0.014737
0.027633 0.013334
0.026310 0.012626
0.026679 0.012808
0.028963 0.012262
0.038547 0.013247
0.026154 0.012147
0.029318 0.012197
0.025778 0.012226
0.026229 0.012287
0.026573 0.013084
0.029504 0.012417
0.026772 0.014300
0.027193 0.012041
0.026313 0.013918
0.027282 0.012804
0.028195 0.012150
0.027995 0.012015
0.027451 0.012335
0.025947 0.012355
0.025368 0.012983
0.036525 0.012569
0.027369 0.013446
0.025749 0.012456
0.026079 0.012198
0.026096 0.012870
0.030618 0.012040
0.026825 0.012898
0.038995 0.012778
0.026142 0.012405
0.026122 0.011777
0.026766 0.012060
0.026858 0.012314
0.026460 0.012129
0.028444 0.011995
0.027028 0.011953
0.025500 0.012128
0.026371 0.013463
0.025957 0.013124
0.025919 0.013109
0.026347 0.012231
0.035939 0.012446
0.025665 0.012129
0.030794 0.012557
0.028517 0.012236
0.026949 0.012261
0.027224 0.012082
0.027179 0.011762
0.031619 0.012131
0.032688 0.012090
0.028098 0.011836
0.026467 0.012966
0.026692 0.012140
0.027264 0.012544
0.029324 0.014017
0.027077 0.012072
0.028261 0.012926
