Decoder Obj_Detector
0.004068 0.070754
0.004039 0.068390
0.004173 0.070392
0.004186 0.074620
0.003947 0.071424
0.003996 0.069275
0.004192 0.070389
0.004261 0.073509
0.004412 0.073412
0.004060 0.068598
0.004190 0.069245
